Genus,Species name ,Family,Phyllum,Nutrition type,Growth pattern,Substrate,Use,Date,Longitude,Latitude,Site
Amanita,pachycolea,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-25,99.299017,25.27535,Baoshan
Amanita,pachycolea,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-07-24,99.299017,25.27535,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2013-08-20,99.293367,25.255817,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-09-01,99.299017,25.27535,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-09-07,99.30385,25.27335,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-07-20,99.303533,25.27325,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2014-08-13,99.299017,25.27535,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-13,99.302217,25.2735,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-08-14,99.300283,25.265783,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-08-14,99.30505,25.267117,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-08-18,99.299017,25.27535,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-18,99.300283,25.265783,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-20,99.302217,25.2735,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2014-08-25,99.299017,25.27535,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-26,99.30385,25.27335,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-08-31,99.299017,25.27535,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-09-07,99.302217,25.2735,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-09-09,99.30385,25.27335,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-09-15,99.303533,25.27325,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-07-20,99.300283,25.265783,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-08-13,99.299017,25.27535,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-13,99.30505,25.267117,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-08-15,99.30505,25.267117,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-08-18,99.299017,25.27535,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-08-18,99.299017,25.27535,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-25,99.299017,25.27535,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-25,99.299017,25.27535,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-31,99.299017,25.27535,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-09-07,99.300283,25.265783,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-09-15,99.30505,25.267117,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-09-22,99.299017,25.27535,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-09-22,99.299017,25.27535,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-09-29,99.299017,25.27535,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2013-07-03,99.299017,25.27535,Baoshan
