Genus,Species name ,Family,Phyllum,No. of individual ,Nutrition type,Growth pattern,Substrate,Use,Long term plot (y/n),Months active,Year,Date,Plot name,Longitude,Latitude,Site,Forest type,Dominant tree,Dominant tree,Dominant tree,Land Cover Type
Amanita,ovalispora,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-09-01,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,ovalispora,Amanitaceae,Basidiomycota,1,ECM,scattered,soil,Inedible,Y,July-September,2014,2014-09-01,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,ovalispora,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-09-09,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,ovalispora,Amanitaceae,Basidiomycota,1,ECM,grouped,soil,Inedible,Y,July-September,2014,2014-09-17,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,ovalispora,Amanitaceae,Basidiomycota,1,ECM,scattered,soil,Inedible,Y,July-September,2014,2014-09-24,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,ovalispora,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-09-29,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,ovalispora,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-10-01,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,ovalispora,Amanitaceae,Basidiomycota,1,ECM,grouped,soil,Inedible,Y,July-September,2014,2014-10-01,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Amanita,ovalispora,Amanitaceae,Basidiomycota,1,ECM,scattered,soil,Inedible,Y,July-September,2014,2014-10-04,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Amanita,ovalispora,Amanitaceae,Basidiomycota,1,ECM,grouped,soil,Inedible,Y,July-September,2014,2014-10-04,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Amanita,ovalispora,Amanitaceae,Basidiomycota,1,ECM,grouped,soil,Edible,Y,July-September,2013,2013-07-11,TM,99.30505,25.267117,Baoshan,Type 7,No,No,No,
Amanita,ovalispora,Amanitaceae,Basidiomycota,1,ECM,scattered,soil,Inedible,Y,July-September,2013,2013-07-14,ZMF,99.29265,25.248983,Baoshan,Type 6,No,No,No,
Amanita,ovalispora,Amanitaceae,Basidiomycota,1,ECM,scattered,soil,Inedible,Y,July-September,2013,2013-07-25,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,ovalispora,Amanitaceae,Basidiomycota,1,ECM,grouped,soil,Inedible,Y,July-September,2013,2013-07-31,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Amanita,pachycolea,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-08-13,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Amanita,pachycolea,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-08-18,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
